country,year,source,scenario,period_type,temp_anomaly,extreme_heat_days,heatwave_duration,z_temp_anomaly,z_extreme_heat_days,z_heatwave_duration,C_tr_core,w_temp_anomaly,w_extreme_heat_days,w_heatwave_duration,C_tr_definition,standardization_period,standardization_source
ES,2004,ERA5,historical,historical,-0.4989588905611448,9,0,-0.9846509881477943,-0.7429072442137046,-0.7640608612397007,-0.7933713547031221,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2005,ERA5,historical,historical,-0.5996138190092353,9,0,-1.1832845361879862,-0.7429072442137046,-0.7640608612397007,-0.8330980643111605,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2006,ERA5,historical,historical,0.168193642454808,19,0,0.3319151925663699,0.055917749564472326,-0.7640608612397007,0.02911937708443453,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2007,ERA5,historical,historical,-0.6402582603095013,7,0,-1.2634927257725301,-0.9026722429693399,-0.7640608612397007,-0.960975201357014,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2008,ERA5,historical,historical,-0.7001776468272869,5,0,-1.381738305238194,-1.0624372417249752,-0.7640608612397007,-1.0964598163790915,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2009,ERA5,historical,historical,-0.0469291905563267,11,6,-0.09261058321316709,-0.5831422454580691,-0.20838023488355475,-0.44755971195163724,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2010,ERA5,historical,historical,-0.6685860211708068,13,0,-1.319395042079049,-0.4233772467024338,-0.7640608612397007,-0.6366491672314835,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2011,ERA5,historical,historical,0.1995182789313059,4,0,0.3937315763274974,-1.142319741102793,-0.7640608612397007,-0.7972835896304257,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2012,ERA5,historical,historical,-0.3608032513833947,15,6,-0.7120131231694337,-0.26361224794679844,-0.20838023488355475,-0.34776922168500113,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
ES,2013,ERA5,historical,historical,-0.5775419956010577,13,0,-1.139727755979813,-0.4233772467024338,-0.7640608612397007,-0.6007157100116364,0.2,0.7,0.1,0.20*z_temp_anomaly + 0.70*z_extreme_heat_days + 0.10*z_heatwave_duration,2004_2025_excl_2020_2021,ERA5
