country,year,source,scenario,period_type,annual_mean_daily_tmax_c,annual_max_daily_tmax_c,extreme_heat_days_30c,extreme_heat_days_p95,heatwave_days_p95_6d,threshold_p95_c,fixed_threshold_c,min_heatwave_length_days
ES,2004,ERA5,historical,historical,18.086979971075145,30.949346331025573,2,9,0,28.693750343172283,30.0,6
ES,2005,ERA5,historical,historical,18.170092597265782,29.84615112488924,0,9,0,28.693750343172283,30.0,6
ES,2006,ERA5,historical,historical,18.80231008013653,30.40916896309801,2,19,0,28.693750343172283,30.0,6
ES,2007,ERA5,historical,historical,18.097942542597455,30.387067025796622,1,7,0,28.693750343172283,30.0,6
ES,2008,ERA5,historical,historical,17.93287290061354,29.750321027443793,0,5,0,28.693750343172283,30.0,6
ES,2009,ERA5,historical,historical,18.68353291373532,29.56943633351008,0,11,6,28.693750343172283,30.0,6
ES,2010,ERA5,historical,historical,17.832500722954965,30.388329295932493,1,13,0,28.693750343172283,30.0,6
ES,2011,ERA5,historical,historical,18.923854651044586,30.77809488126251,1,4,0,28.693750343172283,30.0,6
ES,2012,ERA5,historical,historical,18.44580614919614,31.984631826776237,9,15,6,28.693750343172283,30.0,6
ES,2013,ERA5,historical,historical,18.096746082573922,29.797184786983024,0,13,0,28.693750343172283,30.0,6
ES,2014,ERA5,historical,historical,18.84227722260166,29.470040989781456,0,4,0,28.693750343172283,30.0,6
ES,2015,ERA5,historical,historical,19.262253314369552,31.0965134610368,7,33,14,28.693750343172283,30.0,6
ES,2016,ERA5,historical,historical,18.98625105179096,32.09221154700407,4,24,6,28.693750343172283,30.0,6
ES,2017,ERA5,historical,historical,19.67724412214868,31.059347267657653,5,29,14,28.693750343172283,30.0,6
ES,2018,ERA5,historical,historical,18.50880412681611,32.425770467709825,5,8,6,28.693750343172283,30.0,6
ES,2019,ERA5,historical,historical,19.064176811956877,30.419352642120167,4,13,7,28.693750343172283,30.0,6
ES,2022,ERA5,historical,historical,20.018595344959454,32.930822267221934,23,48,41,28.693750343172283,30.0,6
ES,2023,ERA5,historical,historical,19.9017441543916,33.23146930959743,16,34,19,28.693750343172283,30.0,6
ES,2024,ERA5,historical,historical,19.57216140151818,31.96941777899394,13,32,21,28.693750343172283,30.0,6
ES,2025,ERA5,historical,historical,19.658521060149127,32.83478740901949,20,36,25,28.693750343172283,30.0,6
ES,2030,CMIP6,ssp5_8_5,projection,19.31906997856985,35.893803584423395,61,71,65,28.693750343172283,30.0,6
ES,2031,CMIP6,ssp5_8_5,projection,20.128552017119073,34.60271786601472,48,66,50,28.693750343172283,30.0,6
ES,2032,CMIP6,ssp5_8_5,projection,20.038318590149114,35.91846872584462,61,70,69,28.693750343172283,30.0,6
ES,2033,CMIP6,ssp5_8_5,projection,19.751962192156167,35.52559055441871,52,71,69,28.693750343172283,30.0,6
ES,2034,CMIP6,ssp5_8_5,projection,21.3743899702988,37.8457625643417,66,83,77,28.693750343172283,30.0,6
ES,2035,CMIP6,ssp5_8_5,projection,18.887350388774948,33.36937621440867,32,43,34,28.693750343172283,30.0,6
ES,2036,CMIP6,ssp5_8_5,projection,20.36238501346133,36.506395030368495,85,99,99,28.693750343172283,30.0,6
ES,2037,CMIP6,ssp5_8_5,projection,19.632580557111556,35.75969335838582,50,64,62,28.693750343172283,30.0,6
ES,2038,CMIP6,ssp5_8_5,projection,21.007255265060202,36.69887588887654,51,75,66,28.693750343172283,30.0,6
ES,2039,CMIP6,ssp5_8_5,projection,20.233572040441615,37.15312322219215,41,61,47,28.693750343172283,30.0,6
ES,2040,CMIP6,ssp5_8_5,projection,19.751846351471553,36.22772699379357,57,70,58,28.693750343172283,30.0,6
ES,2041,CMIP6,ssp5_8_5,projection,19.904012711316327,34.9785722538432,55,70,57,28.693750343172283,30.0,6
ES,2042,CMIP6,ssp5_8_5,projection,19.84912894998301,35.04813687892666,58,77,70,28.693750343172283,30.0,6
ES,2043,CMIP6,ssp5_8_5,projection,21.208080439109903,36.25464065464031,81,106,96,28.693750343172283,30.0,6
ES,2044,CMIP6,ssp5_8_5,projection,20.26078195924495,37.12618007089519,63,86,81,28.693750343172283,30.0,6
ES,2045,CMIP6,ssp5_8_5,projection,20.43282027698098,36.11412599131194,67,77,72,28.693750343172283,30.0,6
ES,2046,CMIP6,ssp5_8_5,projection,20.544758078175004,36.55521625200277,74,89,77,28.693750343172283,30.0,6
ES,2047,CMIP6,ssp5_8_5,projection,21.359065981381615,35.88399669519187,67,89,70,28.693750343172283,30.0,6
ES,2048,CMIP6,ssp5_8_5,projection,20.059693427469416,36.3352682063545,49,72,52,28.693750343172283,30.0,6
