country,year,source,scenario,period_type,annual_mean_daily_tmax_c,annual_max_daily_tmax_c,extreme_heat_days_30c,extreme_heat_days_p95,heatwave_days_p95_6d,threshold_p95_c,fixed_threshold_c,min_heatwave_length_days
ES,2004,ERA5,historical,historical,18.086979971075145,30.949346331025573,2,9,0,28.693750343172283,30.0,6
ES,2005,ERA5,historical,historical,18.170092597265782,29.84615112488924,0,9,0,28.693750343172283,30.0,6
ES,2006,ERA5,historical,historical,18.80231008013653,30.40916896309801,2,19,0,28.693750343172283,30.0,6
ES,2007,ERA5,historical,historical,18.097942542597455,30.387067025796622,1,7,0,28.693750343172283,30.0,6
ES,2008,ERA5,historical,historical,17.93287290061354,29.750321027443793,0,5,0,28.693750343172283,30.0,6
ES,2009,ERA5,historical,historical,18.68353291373532,29.56943633351008,0,11,6,28.693750343172283,30.0,6
ES,2010,ERA5,historical,historical,17.832500722954965,30.388329295932493,1,13,0,28.693750343172283,30.0,6
ES,2011,ERA5,historical,historical,18.923854651044586,30.77809488126251,1,4,0,28.693750343172283,30.0,6
ES,2012,ERA5,historical,historical,18.44580614919614,31.984631826776237,9,15,6,28.693750343172283,30.0,6
ES,2013,ERA5,historical,historical,18.096746082573922,29.797184786983024,0,13,0,28.693750343172283,30.0,6
ES,2014,ERA5,historical,historical,18.84227722260166,29.470040989781456,0,4,0,28.693750343172283,30.0,6
ES,2015,ERA5,historical,historical,19.262253314369552,31.0965134610368,7,33,14,28.693750343172283,30.0,6
ES,2016,ERA5,historical,historical,18.98625105179096,32.09221154700407,4,24,6,28.693750343172283,30.0,6
ES,2017,ERA5,historical,historical,19.67724412214868,31.059347267657653,5,29,14,28.693750343172283,30.0,6
ES,2018,ERA5,historical,historical,18.50880412681611,32.425770467709825,5,8,6,28.693750343172283,30.0,6
ES,2019,ERA5,historical,historical,19.064176811956877,30.419352642120167,4,13,7,28.693750343172283,30.0,6
ES,2022,ERA5,historical,historical,20.018595344959454,32.930822267221934,23,48,41,28.693750343172283,30.0,6
ES,2023,ERA5,historical,historical,19.9017441543916,33.23146930959743,16,34,19,28.693750343172283,30.0,6
ES,2024,ERA5,historical,historical,19.57216140151818,31.96941777899394,13,32,21,28.693750343172283,30.0,6
ES,2025,ERA5,historical,historical,19.658521060149127,32.83478740901949,20,36,25,28.693750343172283,30.0,6
FR,2004,ERA5,historical,historical,14.232755740863249,27.677641001638047,0,10,0,24.855495546352785,30.0,6
FR,2005,ERA5,historical,historical,14.404529384789386,27.308456468815365,0,20,0,24.855495546352785,30.0,6
FR,2006,ERA5,historical,historical,14.960910839949708,28.99006560547847,0,22,15,24.855495546352785,30.0,6
FR,2007,ERA5,historical,historical,14.648365642234994,26.708998247053408,0,2,0,24.855495546352785,30.0,6
FR,2008,ERA5,historical,historical,14.22455942396654,26.512446247326004,0,6,0,24.855495546352785,30.0,6
FR,2009,ERA5,historical,historical,14.694738486200245,28.136016696398737,0,15,0,24.855495546352785,30.0,6
FR,2010,ERA5,historical,historical,13.515065585592312,27.35753756640815,0,11,0,24.855495546352785,30.0,6
FR,2011,ERA5,historical,historical,15.417081929931102,27.749491262879893,0,7,0,24.855495546352785,30.0,6
FR,2012,ERA5,historical,historical,14.46390414007203,28.760089914207715,0,13,0,24.855495546352785,30.0,6
FR,2013,ERA5,historical,historical,13.97658300370684,28.129490146032932,0,20,0,24.855495546352785,30.0,6
FR,2014,ERA5,historical,historical,15.393966298698533,27.423631448272065,0,2,0,24.855495546352785,30.0,6
FR,2015,ERA5,historical,historical,15.303785037406259,28.698366948590134,0,24,8,24.855495546352785,30.0,6
FR,2016,ERA5,historical,historical,14.804973651178761,29.296776518467325,0,19,0,24.855495546352785,30.0,6
FR,2017,ERA5,historical,historical,15.124146466595555,28.110576208143502,0,17,0,24.855495546352785,30.0,6
FR,2018,ERA5,historical,historical,15.51985957633661,29.23980392435289,0,27,10,24.855495546352785,30.0,6
FR,2019,ERA5,historical,historical,15.373500165817703,31.578343541943614,3,24,6,24.855495546352785,30.0,6
FR,2022,ERA5,historical,historical,16.357472007434556,31.83849128249092,1,36,22,24.855495546352785,30.0,6
FR,2023,ERA5,historical,historical,15.9961223226041,29.360056590987593,0,30,17,24.855495546352785,30.0,6
FR,2024,ERA5,historical,historical,15.420351888085747,29.51309367138696,0,20,0,24.855495546352785,30.0,6
FR,2025,ERA5,historical,historical,15.909730509762035,30.11680325797329,1,41,18,24.855495546352785,30.0,6
IT,2004,ERA5,historical,historical,16.738686664197722,27.723840000259187,0,2,0,27.22347303705047,30.0,6
IT,2005,ERA5,historical,historical,16.379417132547513,28.764925802719638,0,8,0,27.22347303705047,30.0,6
