country,year,source,scenario,period_type,temperature_c,baseline_temp_c,temperature_anomaly_c
ES,2004,ERA5,historical,historical,15.06365050005005,15.562609390611195,-0.49895889056114484
ES,2005,ERA5,historical,historical,14.96299557160196,15.562609390611195,-0.5996138190092353
ES,2006,ERA5,historical,historical,15.730803033066003,15.562609390611195,0.16819364245480806
ES,2007,ERA5,historical,historical,14.922351130301694,15.562609390611195,-0.6402582603095013
ES,2008,ERA5,historical,historical,14.862431743783908,15.562609390611195,-0.7001776468272869
ES,2009,ERA5,historical,historical,15.515680200054868,15.562609390611195,-0.046929190556326716
ES,2010,ERA5,historical,historical,14.894023369440388,15.562609390611195,-0.6685860211708068
ES,2011,ERA5,historical,historical,15.762127669542501,15.562609390611195,0.19951827893130591
ES,2012,ERA5,historical,historical,15.2018061392278,15.562609390611195,-0.36080325138339475
ES,2013,ERA5,historical,historical,14.985067395010137,15.562609390611195,-0.5775419956010577
ES,2014,ERA5,historical,historical,15.719737812739453,15.562609390611195,0.15712842212825784
ES,2015,ERA5,historical,historical,15.834434833693392,15.562609390611195,0.27182544308219647
ES,2016,ERA5,historical,historical,15.675723289012556,15.562609390611195,0.11311389840136066
ES,2017,ERA5,historical,historical,16.007002143779253,15.562609390611195,0.44439275316805826
ES,2018,ERA5,historical,historical,15.30634115745566,15.562609390611195,-0.2562682331555344
ES,2019,ERA5,historical,historical,15.58193527912222,15.562609390611195,0.019325888511025013
ES,2022,ERA5,historical,historical,16.48450242349012,15.562609390611195,0.9218930328789252
ES,2023,ERA5,historical,historical,16.338089327525264,15.562609390611195,0.7754799369140688
ES,2024,ERA5,historical,historical,16.16442807512216,15.562609390611195,0.601818684510965
ES,2025,ERA5,historical,historical,16.239056718204495,15.562609390611195,0.6764473275932996
ES,2030,CMIP6,ssp5_8_5,projection,15.216008143230896,15.562609390611195,-0.34660124738029907
ES,2031,CMIP6,ssp5_8_5,projection,15.874086924679313,15.562609390611195,0.31147753406811773
ES,2032,CMIP6,ssp5_8_5,projection,15.704266850775971,15.562609390611195,0.14165746016477598
ES,2033,CMIP6,ssp5_8_5,projection,15.50227163463601,15.562609390611195,-0.0603377559751852
ES,2034,CMIP6,ssp5_8_5,projection,16.887747152187433,15.562609390611195,1.3251377615762383
ES,2035,CMIP6,ssp5_8_5,projection,14.85397303347891,15.562609390611195,-0.7086363571322849
ES,2036,CMIP6,ssp5_8_5,projection,16.10040191495326,15.562609390611195,0.5377925243420645
ES,2037,CMIP6,ssp5_8_5,projection,15.529410432774757,15.562609390611195,-0.033198957836438225
ES,2038,CMIP6,ssp5_8_5,projection,16.873221138879085,15.562609390611195,1.31061174826789
ES,2039,CMIP6,ssp5_8_5,projection,15.963949961611167,15.562609390611195,0.401340570999972
ES,2040,CMIP6,ssp5_8_5,projection,15.716025184036994,15.562609390611195,0.1534157934257987
ES,2041,CMIP6,ssp5_8_5,projection,15.807897512167072,15.562609390611195,0.24528812155587687
