age,country,year,mx
20,ES,2004,0.00047
21,ES,2004,0.00046
22,ES,2004,0.00048
23,ES,2004,0.00051
24,ES,2004,0.00047
25,ES,2004,0.00051
26,ES,2004,0.00048
27,ES,2004,0.00053
28,ES,2004,0.00059
29,ES,2004,0.00055
30,ES,2004,0.00058
31,ES,2004,0.00067
32,ES,2004,0.00065
33,ES,2004,0.00074
34,ES,2004,0.00078
35,ES,2004,0.00088
36,ES,2004,0.00093
37,ES,2004,0.00113
38,ES,2004,0.00111
39,ES,2004,0.00133
40,ES,2004,0.00126
41,ES,2004,0.00142
42,ES,2004,0.00154
43,ES,2004,0.00166
44,ES,2004,0.00193
45,ES,2004,0.00215
46,ES,2004,0.00223
47,ES,2004,0.0025
48,ES,2004,0.0028
49,ES,2004,0.00281
50,ES,2004,0.00322
51,ES,2004,0.00352
52,ES,2004,0.00365
53,ES,2004,0.0039
54,ES,2004,0.00415
55,ES,2004,0.00451
56,ES,2004,0.00499
57,ES,2004,0.00525
58,ES,2004,0.00554
59,ES,2004,0.00629
60,ES,2004,0.0068
61,ES,2004,0.00728
62,ES,2004,0.00756
63,ES,2004,0.00837
64,ES,2004,0.00937
65,ES,2004,0.01027
66,ES,2004,0.01185
67,ES,2004,0.01252
68,ES,2004,0.0134
69,ES,2004,0.01481
70,ES,2004,0.01658
71,ES,2004,0.01812
72,ES,2004,0.02043
73,ES,2004,0.02261
74,ES,2004,0.02507
75,ES,2004,0.02872
76,ES,2004,0.03205
77,ES,2004,0.03626
78,ES,2004,0.04058
79,ES,2004,0.04531
80,ES,2004,0.05131
81,ES,2004,0.05758
82,ES,2004,0.06558
83,ES,2004,0.07477
84,ES,2004,0.08367
85,ES,2004,0.09575
20,ES,2005,0.00047
21,ES,2005,0.00049
22,ES,2005,0.00046
23,ES,2005,0.00047
24,ES,2005,0.00046
25,ES,2005,0.00049
26,ES,2005,0.00045
27,ES,2005,0.00049
28,ES,2005,0.00043
29,ES,2005,0.0005
30,ES,2005,0.00052
31,ES,2005,0.00062
32,ES,2005,0.0007
33,ES,2005,0.00069
34,ES,2005,0.00076
35,ES,2005,0.00089
36,ES,2005,0.0009
37,ES,2005,0.001
38,ES,2005,0.00114
39,ES,2005,0.00119
40,ES,2005,0.00129
41,ES,2005,0.00142
42,ES,2005,0.00153
43,ES,2005,0.0016
44,ES,2005,0.00187
45,ES,2005,0.00198
46,ES,2005,0.00218
47,ES,2005,0.00239
48,ES,2005,0.00254
49,ES,2005,0.00281
50,ES,2005,0.00311
51,ES,2005,0.00326
52,ES,2005,0.00362
53,ES,2005,0.00382
54,ES,2005,0.00426
55,ES,2005,0.00453
56,ES,2005,0.00479
57,ES,2005,0.00525
58,ES,2005,0.00567
59,ES,2005,0.0064
60,ES,2005,0.00687
61,ES,2005,0.00724
62,ES,2005,0.0079
63,ES,2005,0.00846
64,ES,2005,0.00912
65,ES,2005,0.01031
66,ES,2005,0.01115
67,ES,2005,0.01246
68,ES,2005,0.01324
69,ES,2005,0.01508
70,ES,2005,0.01647
71,ES,2005,0.01824
72,ES,2005,0.02039
73,ES,2005,0.02248
74,ES,2005,0.02581
75,ES,2005,0.02838
76,ES,2005,0.03196
77,ES,2005,0.03628
78,ES,2005,0.04112
79,ES,2005,0.0473
80,ES,2005,0.05285
81,ES,2005,0.05972
82,ES,2005,0.06748
83,ES,2005,0.07667
84,ES,2005,0.08541
85,ES,2005,0.09614
20,ES,2006,0.00044
21,ES,2006,0.00044
22,ES,2006,0.00045
23,ES,2006,0.00039
24,ES,2006,0.00041
25,ES,2006,0.00042
26,ES,2006,0.00047
27,ES,2006,0.00045
28,ES,2006,0.00043
29,ES,2006,0.00045
30,ES,2006,0.00052
31,ES,2006,0.00055
32,ES,2006,0.00059
33,ES,2006,0.00058
34,ES,2006,0.00068
35,ES,2006,0.00074
36,ES,2006,0.00084
37,ES,2006,0.00092
38,ES,2006,0.00102
39,ES,2006,0.00122
40,ES,2006,0.00123
41,ES,2006,0.00127
42,ES,2006,0.00143
43,ES,2006,0.00166
44,ES,2006,0.00186
45,ES,2006,0.00189
46,ES,2006,0.00213
47,ES,2006,0.00224
48,ES,2006,0.00257
49,ES,2006,0.0026
50,ES,2006,0.00302
51,ES,2006,0.00329
52,ES,2006,0.00358
53,ES,2006,0.00388
54,ES,2006,0.00418
55,ES,2006,0.00432
56,ES,2006,0.00486
57,ES,2006,0.00524
58,ES,2006,0.00555
59,ES,2006,0.0061
60,ES,2006,0.00674
61,ES,2006,0.00685
62,ES,2006,0.00772
63,ES,2006,0.0081
64,ES,2006,0.0091
65,ES,2006,0.00991
66,ES,2006,0.01052
67,ES,2006,0.0116
68,ES,2006,0.01288
69,ES,2006,0.0141
70,ES,2006,0.01519
71,ES,2006,0.0172
72,ES,2006,0.01945
73,ES,2006,0.02075
74,ES,2006,0.02362
75,ES,2006,0.0265
76,ES,2006,0.02943
77,ES,2006,0.03386
78,ES,2006,0.03786
79,ES,2006,0.04297
80,ES,2006,0.04871
81,ES,2006,0.05463
82,ES,2006,0.06139
83,ES,2006,0.06942
84,ES,2006,0.07888
85,ES,2006,0.09028
20,ES,2007,0.00042
21,ES,2007,0.00034
22,ES,2007,0.0004
23,ES,2007,0.00039
24,ES,2007,0.00041
25,ES,2007,0.00041
26,ES,2007,0.00045
27,ES,2007,0.00042
28,ES,2007,0.00044
29,ES,2007,0.00047
30,ES,2007,0.0005
31,ES,2007,0.00051
32,ES,2007,0.00049
33,ES,2007,0.00058
34,ES,2007,0.00064
35,ES,2007,0.00069
36,ES,2007,0.00079
37,ES,2007,0.00084
38,ES,2007,0.00097
39,ES,2007,0.00112
40,ES,2007,0.00121
41,ES,2007,0.00133
42,ES,2007,0.00159
43,ES,2007,0.00158
44,ES,2007,0.00169
45,ES,2007,0.00194
46,ES,2007,0.00199
47,ES,2007,0.00229
48,ES,2007,0.00242
49,ES,2007,0.00264
50,ES,2007,0.00297
51,ES,2007,0.00314
52,ES,2007,0.00349
53,ES,2007,0.00389
54,ES,2007,0.0042
55,ES,2007,0.00438
56,ES,2007,0.00464
57,ES,2007,0.00511
58,ES,2007,0.0057
59,ES,2007,0.00582
60,ES,2007,0.00682
61,ES,2007,0.00706
62,ES,2007,0.00745
63,ES,2007,0.00809
64,ES,2007,0.00914
65,ES,2007,0.00947
66,ES,2007,0.01055
67,ES,2007,0.01189
68,ES,2007,0.01303
69,ES,2007,0.01427
70,ES,2007,0.01557
71,ES,2007,0.01685
72,ES,2007,0.019
73,ES,2007,0.02098
74,ES,2007,0.02422
75,ES,2007,0.02675
76,ES,2007,0.0297
77,ES,2007,0.03313
78,ES,2007,0.03794
79,ES,2007,0.04258
80,ES,2007,0.04857
81,ES,2007,0.05533
82,ES,2007,0.0625
83,ES,2007,0.07149
84,ES,2007,0.08041
85,ES,2007,0.09149
20,ES,2008,0.00038
21,ES,2008,0.00034
22,ES,2008,0.00034
23,ES,2008,0.00035
24,ES,2008,0.00045
25,ES,2008,0.00039
26,ES,2008,0.00036
27,ES,2008,0.00042
28,ES,2008,0.00043
29,ES,2008,0.00043
30,ES,2008,0.00044
31,ES,2008,0.00045
32,ES,2008,0.00049
33,ES,2008,0.00054
34,ES,2008,0.00061
35,ES,2008,0.00068
36,ES,2008,0.00078
37,ES,2008,0.00079
38,ES,2008,0.00085
39,ES,2008,0.00099
40,ES,2008,0.00113
41,ES,2008,0.00123
42,ES,2008,0.00134
43,ES,2008,0.00151
44,ES,2008,0.00169
45,ES,2008,0.00189
46,ES,2008,0.00203
47,ES,2008,0.00228
48,ES,2008,0.00239
49,ES,2008,0.00276
50,ES,2008,0.00306
51,ES,2008,0.00315
52,ES,2008,0.00353
53,ES,2008,0.00374
54,ES,2008,0.00403
55,ES,2008,0.00434
56,ES,2008,0.00458
57,ES,2008,0.00499
58,ES,2008,0.00561
59,ES,2008,0.00575
60,ES,2008,0.00651
61,ES,2008,0.00687
62,ES,2008,0.0075
63,ES,2008,0.00791
64,ES,2008,0.00835
65,ES,2008,0.00929
66,ES,2008,0.0101
67,ES,2008,0.01104
68,ES,2008,0.01193
69,ES,2008,0.01384
70,ES,2008,0.01528
71,ES,2008,0.0164
72,ES,2008,0.01836
73,ES,2008,0.0201
74,ES,2008,0.0228
75,ES,2008,0.02565
76,ES,2008,0.02882
77,ES,2008,0.03227
78,ES,2008,0.03631
79,ES,2008,0.0413
80,ES,2008,0.04725
81,ES,2008,0.05309
82,ES,2008,0.06167
83,ES,2008,0.06851
84,ES,2008,0.0787
85,ES,2008,0.08855
20,ES,2009,0.00029
21,ES,2009,0.00033
22,ES,2009,0.00032
23,ES,2009,0.00035
24,ES,2009,0.00033
25,ES,2009,0.0004
26,ES,2009,0.00041
27,ES,2009,0.00037
28,ES,2009,0.00041
29,ES,2009,0.00041
30,ES,2009,0.00039
31,ES,2009,0.00045
32,ES,2009,0.00044
33,ES,2009,0.0005
34,ES,2009,0.00058
35,ES,2009,0.0006
36,ES,2009,0.00069
37,ES,2009,0.0007
38,ES,2009,0.00086
39,ES,2009,0.00084
40,ES,2009,0.00105
41,ES,2009,0.0012
42,ES,2009,0.00126
43,ES,2009,0.00136
44,ES,2009,0.00147
45,ES,2009,0.0018
46,ES,2009,0.00194
47,ES,2009,0.00218
48,ES,2009,0.00225
49,ES,2009,0.00261
50,ES,2009,0.00284
51,ES,2009,0.003
52,ES,2009,0.0032
53,ES,2009,0.00363
54,ES,2009,0.00417
55,ES,2009,0.0042
56,ES,2009,0.00461
57,ES,2009,0.00507
58,ES,2009,0.00528
59,ES,2009,0.00581
60,ES,2009,0.00611
61,ES,2009,0.00657
62,ES,2009,0.00753
63,ES,2009,0.00772
64,ES,2009,0.00836
65,ES,2009,0.0095
66,ES,2009,0.00998
67,ES,2009,0.01105
68,ES,2009,0.01191
69,ES,2009,0.01323
70,ES,2009,0.0142
71,ES,2009,0.01598
72,ES,2009,0.01814
73,ES,2009,0.01976
74,ES,2009,0.02217
75,ES,2009,0.02492
76,ES,2009,0.02758
77,ES,2009,0.03124
78,ES,2009,0.03502
79,ES,2009,0.0402
80,ES,2009,0.04607
81,ES,2009,0.0521
82,ES,2009,0.05898
83,ES,2009,0.06667
84,ES,2009,0.07462
85,ES,2009,0.08491
20,ES,2010,0.00032
21,ES,2010,0.00026
22,ES,2010,0.00032
23,ES,2010,0.0003
24,ES,2010,0.0003
25,ES,2010,0.00034
26,ES,2010,0.00028
27,ES,2010,0.00032
28,ES,2010,0.00033
29,ES,2010,0.00037
30,ES,2010,0.00039
31,ES,2010,0.00038
32,ES,2010,0.00044
33,ES,2010,0.00046
34,ES,2010,0.0005
35,ES,2010,0.00055
36,ES,2010,0.00062
37,ES,2010,0.00067
38,ES,2010,0.00074
39,ES,2010,0.00083
40,ES,2010,0.00096
41,ES,2010,0.00105
42,ES,2010,0.00121
43,ES,2010,0.00133
44,ES,2010,0.00152
45,ES,2010,0.00163
46,ES,2010,0.00189
47,ES,2010,0.00207
48,ES,2010,0.00219
49,ES,2010,0.00248
50,ES,2010,0.00271
51,ES,2010,0.00302
52,ES,2010,0.00338
53,ES,2010,0.00352
54,ES,2010,0.00388
55,ES,2010,0.00414
56,ES,2010,0.00458
57,ES,2010,0.00504
58,ES,2010,0.00526
59,ES,2010,0.0058
60,ES,2010,0.0061
61,ES,2010,0.00629
62,ES,2010,0.00707
63,ES,2010,0.00768
64,ES,2010,0.00817
65,ES,2010,0.00879
66,ES,2010,0.00975
67,ES,2010,0.01056
68,ES,2010,0.01166
69,ES,2010,0.01244
70,ES,2010,0.014
71,ES,2010,0.01545
72,ES,2010,0.01757
73,ES,2010,0.01924
74,ES,2010,0.02071
75,ES,2010,0.02391
76,ES,2010,0.02631
77,ES,2010,0.02975
78,ES,2010,0.03383
79,ES,2010,0.03826
80,ES,2010,0.04393
81,ES,2010,0.05012
82,ES,2010,0.05598
83,ES,2010,0.06442
84,ES,2010,0.07206
85,ES,2010,0.08265
20,ES,2011,0.0003
21,ES,2011,0.00032
22,ES,2011,0.00028
23,ES,2011,0.00026
24,ES,2011,0.00029
25,ES,2011,0.00032
26,ES,2011,0.00029
27,ES,2011,0.00033
28,ES,2011,0.00033
29,ES,2011,0.00035
30,ES,2011,0.00041
31,ES,2011,0.00041
