"country","year","age","age_num","mx","is_projected","projection_method"
"FR",1816,"0",0,0.20534,FALSE,"observed"
"FR",1816,"1",1,0.04669,FALSE,"observed"
"FR",1816,"2",2,0.03412,FALSE,"observed"
"FR",1816,"3",3,0.02304,FALSE,"observed"
"FR",1816,"4",4,0.01604,FALSE,"observed"
"FR",1816,"5",5,0.01373,FALSE,"observed"
"FR",1816,"6",6,0.01186,FALSE,"observed"
"FR",1816,"7",7,0.01016,FALSE,"observed"
"FR",1816,"8",8,0.00864,FALSE,"observed"
"FR",1816,"9",9,0.00734,FALSE,"observed"
"FR",1816,"10",10,0.00615,FALSE,"observed"
"FR",1816,"11",11,0.00529,FALSE,"observed"
"FR",1816,"12",12,0.00478,FALSE,"observed"
"FR",1816,"13",13,0.00464,FALSE,"observed"
"FR",1816,"14",14,0.00488,FALSE,"observed"
"FR",1816,"15",15,0.00537,FALSE,"observed"
"FR",1816,"16",16,0.00596,FALSE,"observed"
"FR",1816,"17",17,0.00667,FALSE,"observed"
"FR",1816,"18",18,0.00746,FALSE,"observed"
"FR",1816,"19",19,0.00832,FALSE,"observed"
"FR",1816,"20",20,0.00891,FALSE,"observed"
"FR",1816,"21",21,0.0094,FALSE,"observed"
"FR",1816,"22",22,0.01004,FALSE,"observed"
"FR",1816,"23",23,0.01041,FALSE,"observed"
"FR",1816,"24",24,0.01047,FALSE,"observed"
"FR",1816,"25",25,0.01025,FALSE,"observed"
"FR",1816,"26",26,0.00983,FALSE,"observed"
"FR",1816,"27",27,0.0095,FALSE,"observed"
"FR",1816,"28",28,0.00926,FALSE,"observed"
"FR",1816,"29",29,0.00907,FALSE,"observed"
"FR",1816,"30",30,0.00929,FALSE,"observed"
"FR",1816,"31",31,0.00954,FALSE,"observed"
"FR",1816,"32",32,0.00969,FALSE,"observed"
"FR",1816,"33",33,0.00987,FALSE,"observed"
"FR",1816,"34",34,0.01009,FALSE,"observed"
"FR",1816,"35",35,0.01027,FALSE,"observed"
"FR",1816,"36",36,0.01056,FALSE,"observed"
"FR",1816,"37",37,0.01087,FALSE,"observed"
"FR",1816,"38",38,0.01123,FALSE,"observed"
"FR",1816,"39",39,0.01167,FALSE,"observed"
"FR",1816,"40",40,0.01189,FALSE,"observed"
"FR",1816,"41",41,0.01217,FALSE,"observed"
"FR",1816,"42",42,0.01272,FALSE,"observed"
"FR",1816,"43",43,0.01327,FALSE,"observed"
"FR",1816,"44",44,0.01383,FALSE,"observed"
"FR",1816,"45",45,0.01452,FALSE,"observed"
