age,age_num,country,a_xr
20,20.0,ES,-8.188265254489172
20,20.0,FR,-7.77602062301884
20,20.0,IT,-8.103498808710839
21,21.0,ES,-8.18419600720037
21,21.0,FR,-7.73687186427873
21,21.0,IT,-8.055007618769682
22,22.0,ES,-8.164730480475352
22,22.0,FR,-7.7317418350689575
22,22.0,IT,-8.016067251865158
23,23.0,ES,-8.14178359403389
23,23.0,FR,-7.6903345955130415
23,23.0,IT,-8.0579782106576
24,24.0,ES,-8.1084794375383
24,24.0,FR,-7.676073101708835
24,24.0,IT,-8.02357600473842
25,25.0,ES,-8.072934190365274
25,25.0,FR,-7.647622225504298
25,25.0,IT,-7.966418780420314
26,26.0,ES,-8.080754308309267
26,26.0,FR,-7.598603886727846
26,26.0,IT,-7.977270622743386
27,27.0,ES,-8.03269252567724
27,27.0,FR,-7.610017659896407
27,27.0,IT,-7.972900795014032
28,28.0,ES,-8.025617186039081
28,28.0,FR,-7.540022071635147
28,28.0,IT,-7.954676995031266
29,29.0,ES,-7.936879841552711
29,29.0,FR,-7.522165723461602
29,29.0,IT,-7.929714242097158
30,30.0,ES,-7.885998910298966
30,30.0,FR,-7.483520175967049
30,30.0,IT,-7.870304959748891
31,31.0,ES,-7.836681246376088
31,31.0,FR,-7.434974497756649
31,31.0,IT,-7.8408302970485675
32,32.0,ES,-7.802351248446023
32,32.0,FR,-7.370736280916335
32,32.0,IT,-7.778588484385329
33,33.0,ES,-7.710173145939573
33,33.0,FR,-7.310007884633488
33,33.0,IT,-7.733291312023921
34,34.0,ES,-7.616350005870328
34,34.0,FR,-7.237925810610667
34,34.0,IT,-7.648546175377929
35,35.0,ES,-7.557493238012394
35,35.0,FR,-7.175930850927135
35,35.0,IT,-7.608556065774183
36,36.0,ES,-7.478957959096904
36,36.0,FR,-7.07663964675468
36,36.0,IT,-7.50778525788188
37,37.0,ES,-7.380509472558332
37,37.0,FR,-6.97700817216001
37,37.0,IT,-7.457084963325983
38,38.0,ES,-7.29185847180832
38,38.0,FR,-6.898518252238512
38,38.0,IT,-7.370419156757725
39,39.0,ES,-7.193465343122429
39,39.0,FR,-6.809932685090125
39,39.0,IT,-7.264149925721109
40,40.0,ES,-7.077947167903955
40,40.0,FR,-6.737658000327092
40,40.0,IT,-7.173715019720412
41,41.0,ES,-6.985908311238438
41,41.0,FR,-6.637116448233414
41,41.0,IT,-7.074037880487367
42,42.0,ES,-6.886627376331624
42,42.0,FR,-6.548287899120462
42,42.0,IT,-6.96345930118426
43,43.0,ES,-6.766647604902495
43,43.0,FR,-6.448116742631472
43,43.0,IT,-6.874320564860136
44,44.0,ES,-6.673177437295879
44,44.0,FR,-6.351297175582103
44,44.0,IT,-6.773294033705396
45,45.0,ES,-6.552189371118781
45,45.0,FR,-6.248201457920508
45,45.0,IT,-6.668785327590037
46,46.0,ES,-6.454873535849522
46,46.0,FR,-6.150947090642127
46,46.0,IT,-6.563663036502831
47,47.0,ES,-6.3305299101334835
47,47.0,FR,-6.046710559418147
47,47.0,IT,-6.4787021755842575
48,48.0,ES,-6.220814296334984
48,48.0,FR,-5.950188915889004
48,48.0,IT,-6.384418485536626
49,49.0,ES,-6.12266281679637
49,49.0,FR,-5.853018983780143
49,49.0,IT,-6.2720432452744825
50,50.0,ES,-6.01252289613826
50,50.0,FR,-5.752765937855305
50,50.0,IT,-6.17507269333256
51,51.0,ES,-5.903208218347992
51,51.0,FR,-5.664254737397501
51,51.0,IT,-6.088573872844203
52,52.0,ES,-5.8081042393910085
52,52.0,FR,-5.582167467137789
52,52.0,IT,-5.973943100096437
53,53.0,ES,-5.720911168614
53,53.0,FR,-5.493506907215805
53,53.0,IT,-5.893241669593349
54,54.0,ES,-5.6236754556493525
54,54.0,FR,-5.4110136553290165
54,54.0,IT,-5.789458492776727
55,55.0,ES,-5.5475059250876795
55,55.0,FR,-5.326980568060005
55,55.0,IT,-5.70713256976226
56,56.0,ES,-5.447873319087934
56,56.0,FR,-5.25008143585457
