country,year,age,age_num,mx,log_mx,mx_hat_baseline,log_mx_hat_baseline,baseline_residual
ES,2004,20,20.0,0.00047,-7.66277786326017,0.00042882324528153705,-7.754465739598784,0.09168787633861353
ES,2004,21,21.0,0.00046,-7.6842840684811335,0.00040793121377043126,-7.804411991473551,0.1201279229924177
ES,2004,22,22.0,0.00048,-7.641724454062337,0.00042046475144158474,-7.774149907411816,0.1324254533494793
ES,2004,23,23.0,0.00051,-7.5810998322459024,0.00042672928836641884,-7.759360730879532,0.1782608986336296
ES,2004,24,24.0,0.00047,-7.66277786326017,0.00043356168166967536,-7.743476484276957,0.08069862101678638
ES,2004,25,25.0,0.00051,-7.5810998322459024,0.0004400142817892013,-7.7287033729669155,0.147603540721013
ES,2004,26,26.0,0.00048,-7.641724454062337,0.0004279362378646316,-7.756536350432441,0.11481189637010392
ES,2004,27,27.0,0.00053,-7.542633551418106,0.00046079092513165085,-7.682566142501233,0.1399325910831264
ES,2004,28,28.0,0.00059,-7.435388021064509,0.0004501054635879671,-7.706028639129935,0.2706406180654257
ES,2004,29,29.0,0.00055,-7.505592279737757,0.00048548221858754257,-7.630367895852023,0.12477561611426591
ES,2004,30,30.0,0.00058,-7.4524824544238095,0.000506979210404143,-7.5870405603338575,0.13455810591004802
ES,2004,31,31.0,0.00067,-7.308232845579262,0.0005365109958743972,-7.5304235005315165,0.22219065495225454
ES,2004,32,32.0,0.00065,-7.338538195074591,0.0005502361717367071,-7.5051629687472605,0.1666247736726696
ES,2004,33,33.0,0.00074,-7.208860371766058,0.0006009399054378803,-7.417015619380441,0.20815524761438287
ES,2004,34,34.0,0.00078,-7.156216638280637,0.0006518078936171766,-7.33576068114446,0.17954404286382264
ES,2004,35,35.0,0.00088,-7.035588650492022,0.0007227755868285615,-7.232411775648712,0.19682312515669054
ES,2004,36,36.0,0.00093,-6.980325971816972,0.0007835194814832284,-7.15171463178909,0.17138865997211727
ES,2004,37,37.0,0.00113,-6.785537646257888,0.0008540385472659565,-7.065534227880596,0.2799965816227079
