experiment_type,experiment_code,experiment_name,country,model,residual_column,n_observations,mean_residual,mae,mse,rmse,sse,excluded_component,w_temp_anomaly,w_extreme_heat_days,w_heatwave_duration
C_weights,C1,C1_base_20_70_10,ES,baseline,baseline_residual,1320,6.261826074495674e-17,0.04751018707738622,0.004630626978668688,0.0680487103380269,6.112427611842668,none,0.2,0.7,0.1
C_weights,C1,C1_base_20_70_10,ES,climate_adjusted,residual_after_climate,1320,6.282327351939037e-17,0.047530111089794144,0.004620924093801951,0.06797737928018371,6.099619803818575,none,0.2,0.7,0.1
C_weights,C1,C1_base_20_70_10,FR,baseline,baseline_residual,1320,-9.488411739812536e-18,0.03733826536395775,0.002515605102349318,0.05015580826135013,3.3205987351010995,none,0.2,0.7,0.1
C_weights,C1,C1_base_20_70_10,FR,climate_adjusted,residual_after_climate,1320,-8.891771998832634e-18,0.03247149401762531,0.00195369418052169,0.04420061289757971,2.5788763182886303,none,0.2,0.7,0.1
C_weights,C1,C1_base_20_70_10,IT,baseline,baseline_residual,1320,5.0359548181387306e-18,0.035767600807450076,0.0022738985354976075,0.04768541218756117,3.0015460668568417,none,0.2,0.7,0.1
C_weights,C1,C1_base_20_70_10,IT,climate_adjusted,residual_after_climate,1320,5.401298095655059e-18,0.033358780757269994,0.001999730277495834,0.044718343859045516,2.639643966294501,none,0.2,0.7,0.1
C_weights,C2,C2_equal_weights_33_33_33,ES,baseline,baseline_residual,1320,6.261826074495674e-17,0.04751018707738622,0.004630626978668688,0.0680487103380269,6.112427611842668,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C2,C2_equal_weights_33_33_33,ES,climate_adjusted,residual_after_climate,1320,6.268659833643461e-17,0.04752783696083027,0.004616822594256381,0.06794720446240876,6.094205824418423,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C2,C2_equal_weights_33_33_33,FR,baseline,baseline_residual,1320,-9.488411739812536e-18,0.03733826536395775,0.002515605102349318,0.05015580826135013,3.3205987351010995,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C2,C2_equal_weights_33_33_33,FR,climate_adjusted,residual_after_climate,1320,-8.373983324942587e-18,0.03302529127484747,0.0019900639730330407,0.04461013307571544,2.626884444403614,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C2,C2_equal_weights_33_33_33,IT,baseline,baseline_residual,1320,5.0359548181387306e-18,0.035767600807450076,0.0022738985354976075,0.04768541218756117,3.0015460668568417,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C2,C2_equal_weights_33_33_33,IT,climate_adjusted,residual_after_climate,1320,5.093778934004625e-18,0.03326807009719193,0.0019902059071597255,0.044611723875677856,2.6270717974508377,none,0.3333333333333333,0.3333333333333333,0.3333333333333333
C_weights,C3,C3_duration_heavy_25_35_40,ES,baseline,baseline_residual,1320,6.261826074495674e-17,0.04751018707738622,0.004630626978668688,0.0680487103380269,6.112427611842668,none,0.25,0.35,0.4
C_weights,C3,C3_duration_heavy_25_35_40,ES,climate_adjusted,residual_after_climate,1320,6.261037563824776e-17,0.04752879430067565,0.004616131302247804,0.06794211729294138,6.093293318967101,none,0.25,0.35,0.4
C_weights,C3,C3_duration_heavy_25_35_40,FR,baseline,baseline_residual,1320,-9.488411739812536e-18,0.03733826536395775,0.002515605102349318,0.05015580826135013,3.3205987351010995,none,0.25,0.35,0.4
C_weights,C3,C3_duration_heavy_25_35_40,FR,climate_adjusted,residual_after_climate,1320,-8.547455672540268e-18,0.033131998073950605,0.0020185911978910444,0.044928734657132784,2.6645403812161788,none,0.25,0.35,0.4
C_weights,C3,C3_duration_heavy_25_35_40,IT,baseline,baseline_residual,1320,5.0359548181387306e-18,0.035767600807450076,0.0022738985354976075,0.04768541218756117,3.0015460668568417,none,0.25,0.35,0.4
C_weights,C3,C3_duration_heavy_25_35_40,IT,climate_adjusted,residual_after_climate,1320,5.285649863923271e-18,0.03337968291568265,0.0020020650456283855,0.04474444150538014,2.642725860229469,none,0.25,0.35,0.4
C_weights,C4,C4_temp_heavy_60_25_15,ES,baseline,baseline_residual,1320,6.261826074495674e-17,0.04751018707738622,0.004630626978668688,0.0680487103380269,6.112427611842668,none,0.6,0.25,0.15
C_weights,C4,C4_temp_heavy_60_25_15,ES,climate_adjusted,residual_after_climate,1320,6.263928769618071e-17,0.04751899909103335,0.004618340430995522,0.06795837278066273,6.096209368914089,none,0.6,0.25,0.15
C_weights,C4,C4_temp_heavy_60_25_15,FR,baseline,baseline_residual,1320,-9.488411739812536e-18,0.03733826536395775,0.002515605102349318,0.05015580826135013,3.3205987351010995,none,0.6,0.25,0.15
C_weights,C4,C4_temp_heavy_60_25_15,FR,climate_adjusted,residual_after_climate,1320,-9.130953569005194e-18,0.032907856548764484,0.0019386239558749664,0.04402980758389669,2.5589836217549555,none,0.6,0.25,0.15
C_weights,C4,C4_temp_heavy_60_25_15,IT,baseline,baseline_residual,1320,5.0359548181387306e-18,0.035767600807450076,0.0022738985354976075,0.04768541218756117,3.0015460668568417,none,0.6,0.25,0.15
C_weights,C4,C4_temp_heavy_60_25_15,IT,climate_adjusted,residual_after_climate,1320,5.2541094370873294e-18,0.032959023039613525,0.001962331431556815,0.04429821025229817,2.5902774896549956,none,0.6,0.25,0.15
component_exclusion,E1,E1_base_20_70_10,ES,baseline,baseline_residual,1320,6.261826074495674e-17,0.04751018707738622,0.004630626978668688,0.0680487103380269,6.112427611842668,none,0.2,0.7,0.1
component_exclusion,E1,E1_base_20_70_10,ES,climate_adjusted,residual_after_climate,1320,6.282327351939037e-17,0.047530111089794144,0.004620924093801951,0.06797737928018371,6.099619803818575,none,0.2,0.7,0.1
component_exclusion,E1,E1_base_20_70_10,FR,baseline,baseline_residual,1320,-9.488411739812536e-18,0.03733826536395775,0.002515605102349318,0.05015580826135013,3.3205987351010995,none,0.2,0.7,0.1
component_exclusion,E1,E1_base_20_70_10,FR,climate_adjusted,residual_after_climate,1320,-8.891771998832634e-18,0.03247149401762531,0.00195369418052169,0.04420061289757971,2.5788763182886303,none,0.2,0.7,0.1
component_exclusion,E1,E1_base_20_70_10,IT,baseline,baseline_residual,1320,5.0359548181387306e-18,0.035767600807450076,0.0022738985354976075,0.04768541218756117,3.0015460668568417,none,0.2,0.7,0.1
component_exclusion,E1,E1_base_20_70_10,IT,climate_adjusted,residual_after_climate,1320,5.401298095655059e-18,0.033358780757269994,0.001999730277495834,0.044718343859045516,2.639643966294501,none,0.2,0.7,0.1
component_exclusion,E2,E2_excl_temp_anomaly,ES,baseline,baseline_residual,1320,6.261826074495674e-17,0.04751018707738622,0.004630626978668688,0.0680487103380269,6.112427611842668,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E2,E2_excl_temp_anomaly,ES,climate_adjusted,residual_after_climate,1320,6.268134159862863e-17,0.0475272543696406,0.004620952326184889,0.06797758693999728,6.099657070564054,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E2,E2_excl_temp_anomaly,FR,baseline,baseline_residual,1320,-9.488411739812536e-18,0.03733826536395775,0.002515605102349318,0.05015580826135013,3.3205987351010995,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E2,E2_excl_temp_anomaly,FR,climate_adjusted,residual_after_climate,1320,-9.201919529386063e-18,0.03287132660034501,0.00202721771302571,0.045024634512960904,2.675927381193937,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E2,E2_excl_temp_anomaly,IT,baseline,baseline_residual,1320,5.0359548181387306e-18,0.035767600807450076,0.0022738985354976075,0.04768541218756117,3.0015460668568417,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E2,E2_excl_temp_anomaly,IT,climate_adjusted,residual_after_climate,1320,5.627337821312643e-18,0.033615998751652214,0.0020319463064231774,0.04507711510759287,2.682169124478594,temp_anomaly,0.0,0.875,0.12500000000000003
component_exclusion,E3,E3_excl_extreme_heat_days,ES,baseline,baseline_residual,1320,6.261826074495674e-17,0.04751018707738622,0.004630626978668688,0.0680487103380269,6.112427611842668,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333
component_exclusion,E3,E3_excl_extreme_heat_days,ES,climate_adjusted,residual_after_climate,1320,6.258409194921781e-17,0.047510359805424736,0.004614765015568285,0.06793206176444437,6.091489820550136,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333
component_exclusion,E3,E3_excl_extreme_heat_days,FR,baseline,baseline_residual,1320,-9.488411739812536e-18,0.03733826536395775,0.002515605102349318,0.05015580826135013,3.3205987351010995,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333
component_exclusion,E3,E3_excl_extreme_heat_days,FR,climate_adjusted,residual_after_climate,1320,-8.954852852504518e-18,0.03378993186030807,0.0020282434760978464,0.04503602420393974,2.677281388449157,extreme_heat_days,0.6666666666666666,0.0,0.3333333333333333
