year,k_t_projection,k_projection_method,k_linear_intercept,k_linear_slope,k_projection_fit_start_year,k_projection_fit_end_year,k_projection_excluded_years
2030,-22.148074535000887,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2031,-23.523731338416837,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2032,-24.899388141832787,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2033,-26.275044945249192,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2034,-27.650701748665142,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2035,-29.026358552081092,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2036,-30.402015355497497,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2037,-31.777672158913447,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2038,-33.1533289623294,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2039,-34.5289857657458,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2040,-35.90464256916175,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2041,-37.280299372578156,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2042,-38.655956175994106,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2043,-40.031612979410056,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2044,-41.40726978282646,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2045,-42.78292658624241,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2046,-44.15858338965836,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2047,-45.534240193074766,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2048,-46.909896996490716,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2049,-48.285553799906666,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2050,-49.66121060332307,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2051,-51.03686740673902,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2052,-52.41252421015497,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2053,-53.788181013571375,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2054,-55.163837816987325,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2055,-56.539494620403275,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2056,-57.91515142381968,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2057,-59.29080822723563,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2058,-60.666465030652034,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2059,-62.042121834067984,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
2060,-63.417778637483934,linear_extrapolation_selected_calibration_years,2770.4352363997073,-1.3756568034161123,2004,2025,"2020,2021"
