country,year,age,age_num,a_xr,b_x,k_t_projection,lambda_xr,C_tr,log_mx_projected_baseline,mx_projected_baseline,climate_component,log_mx_projected_climate_adjusted,mx_projected_climate_adjusted,absolute_mx_impact,relative_mx_impact,relative_mx_impact_pct,k_projection_method
ES,2030,20,20.0,-8.188265254489172,0.0270653680190142,-22.148074535000887,0.0,3.3356493148354733,-8.787711042691528,0.00015259685592644627,0.0,-8.787711042691528,0.00015259685592644627,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2031,20,20.0,-8.188265254489172,0.0270653680190142,-23.523731338416837,0.0,3.1768723982451736,-8.824943700343841,0.0001470197391388952,0.0,-8.824943700343841,0.0001470197391388952,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2032,20,20.0,-8.188265254489172,0.0270653680190142,-24.899388141832787,0.0,3.509483966110703,-8.862176357996155,0.00014164645506777265,0.0,-8.862176357996155,0.00014164645506777265,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2033,20,20.0,-8.188265254489172,0.0270653680190142,-26.275044945249192,0.0,3.4856777973581137,-8.89940901564848,0.00013646955402574454,0.0,-8.89940901564848,0.00013646955402574454,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2034,20,20.0,-8.188265254489172,0.0270653680190142,-27.650701748665142,0.0,4.777604081491072,-8.936641673300795,0.00013148185859699016,0.0,-8.936641673300795,0.00013148185859699016,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2035,20,20.0,-8.188265254489172,0.0270653680190142,-29.026358552081092,0.0,1.3399618528623516,-8.973874330953107,0.00012667645368620258,0.0,-8.973874330953107,0.00012667645368620258,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2036,20,20.0,-8.188265254489172,0.0270653680190142,-30.402015355497497,0.0,5.565286479249426,-9.011106988605434,0.00012204667693128989,0.0,-9.011106988605434,0.00012204667693128989,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2037,20,20.0,-8.188265254489172,0.0270653680190142,-31.777672158913447,0.0,3.0401353448249377,-9.048339646257746,0.0001175861094664765,0.0,-9.048339646257746,0.0001175861094664765,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2038,20,20.0,-8.188265254489172,0.0270653680190142,-33.1533289623294,0.0,4.222654144441529,-9.085572303910059,0.00011328856702297815,0.0,-9.085572303910059,0.00011328856702297815,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
ES,2039,20,20.0,-8.188265254489172,0.0270653680190142,-34.5289857657458,0.0,2.904966961119253,-9.122804961562386,0.00010914809135494576,0.0,-9.122804961562386,0.00010914809135494576,0.0,0.0,0.0,linear_extrapolation_selected_calibration_years
