experiment_type,experiment_name,experiment_code,country,age,age_num,mean_C_tr,mean_lambda_xr,mean_climate_component,mean_relative_mx_impact,mean_relative_mx_impact_pct,median_relative_mx_impact_pct,min_relative_mx_impact_pct,max_relative_mx_impact_pct,mean_delta_vs_baseline_relative_mx_impact_pct,mean_delta_vs_baseline_climate_component
C_weights,C1_base_20_70_10,C1,ES,20,20.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,21,21.0,4.033746924744858,0.009528202766377262,0.038434358607219735,0.03924140025309426,3.9241400253094256,3.807067331350078,1.2849279818941017,6.071159432324924,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,22,22.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,23,23.0,4.033746924744858,0.007365083306666808,0.02970888213875693,0.03018947606796133,3.018947606796133,2.930253016714568,0.9917789165161173,4.661303938207917,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,24,24.0,4.033746924744858,0.018009118730335553,0.07264422729585605,0.07556551561282164,7.556551561282164,7.3174318358075086,2.4425053810372965,11.784378898204405,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,25,25.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,26,26.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,27,27.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,28,28.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,29,29.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,30,30.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,31,31.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,32,32.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,33,33.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,34,34.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,35,35.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C_weights,C1_base_20_70_10,C1,ES,36,36.0,4.033746924744858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
